contactPntX,contactPntY,contactPntZ,normalX,normalY,normalZ,maxCurvature,maxCurvDirectionX,maxCurvDirectionY,maxCurvDirectionZ,minCurvature,minCurvDirectionX,minCurvDirectionY,minCurvDirectionZ,meanCurvature,GaussianCurvature,endOfRevolution(T/F)
51.7963,-0.0000,-0.0550,-0.1313,0.0000,0.9913,0.1575,0.9913,-0.0000,0.1313,-0.0025,0.0000,1.0000,0.0000,0.0775,-0.0004,0
51.7944,0.4458,-0.0550,-0.1313,-0.0011,0.9913,0.1575,0.9913,0.0085,0.1313,-0.0025,-0.0086,1.0000,0.0000,0.0775,-0.0004,0
51.7761,1.4456,-0.0550,-0.1313,-0.0037,0.9913,0.1575,0.9910,0.0277,0.1313,-0.0025,-0.0279,0.9996,0.0000,0.0775,-0.0004,0
51.7386,2.4449,-0.0550,-0.1312,-0.0062,0.9913,0.1575,0.9902,0.0468,0.1313,-0.0025,-0.0472,0.9989,0.0000,0.0775,-0.0004,0
51.6817,3.4432,-0.0550,-0.1310,-0.0087,0.9913,0.1575,0.9891,0.0659,0.1313,-0.0025,-0.0665,0.9978,0.0000,0.0775,-0.0004,0
51.6056,4.4403,-0.0550,-0.1308,-0.0113,0.9913,0.1575,0.9877,0.0850,0.1313,-0.0025,-0.0857,0.9963,0.0000,0.0775,-0.0004,0
51.5103,5.4358,-0.0550,-0.1306,-0.0138,0.9913,0.1575,0.9859,0.1040,0.1313,-0.0025,-0.1049,0.9945,0.0000,0.0775,-0.0004,0
51.3958,6.4292,-0.0550,-0.1303,-0.0163,0.9913,0.1575,0.9837,0.1230,0.1313,-0.0025,-0.1241,0.9923,0.0000,0.0775,-0.0004,0
51.2621,7.4202,-0.0550,-0.1300,-0.0188,0.9913,0.1575,0.9811,0.1420,0.1313,-0.0025,-0.1433,0.9897,0.0000,0.0775,-0.0004,0
51.1093,8.4084,-0.0550,-0.1296,-0.0213,0.9913,0.1575,0.9782,0.1609,0.1313,-0.0025,-0.1623,0.9867,0.0000,0.0775,-0.0004,0
50.9374,9.3935,-0.0550,-0.1292,-0.0238,0.9913,0.1575,0.9749,0.1798,0.1313,-0.0025,-0.1814,0.9834,0.0000,0.0775,-0.0004,0
50.7466,10.3751,-0.0550,-0.1287,-0.0263,0.9913,0.1575,0.9712,0.1986,0.1313,-0.0025,-0.2003,0.9797,0.0000,0.0775,-0.0004,0
50.5368,11.3529,-0.0550,-0.1281,-0.0288,0.9913,0.1575,0.9672,0.2173,0.1313,-0.0025,-0.2192,0.9757,0.0000,0.0775,-0.0004,0
50.3082,12.3264,-0.0550,-0.1276,-0.0313,0.9913,0.1575,0.9629,0.2359,0.1313,-0.0025,-0.2380,0.9713,0.0000,0.0775,-0.0004,0
50.0609,13.2953,-0.0550,-0.1269,-0.0337,0.9913,0.1575,0.9581,0.2545,0.1313,-0.0025,-0.2567,0.9665,0.0000,0.0775,-0.0004,0
49.7949,14.2592,-0.0550,-0.1263,-0.0362,0.9913,0.1575,0.9530,0.2729,0.1313,-0.0025,-0.2753,0.9614,0.0000,0.0775,-0.0004,0
49.5103,15.2179,-0.0550,-0.1255,-0.0386,0.9913,0.1575,0.9476,0.2913,0.1313,-0.0025,-0.2938,0.9559,0.0000,0.0775,-0.0004,0
49.2073,16.1708,-0.0550,-0.1248,-0.0410,0.9913,0.1575,0.9418,0.3095,0.1313,-0.0025,-0.3122,0.9500,0.0000,0.0775,-0.0004,0
48.8860,17.1178,-0.0550,-0.1240,-0.0434,0.9913,0.1575,0.9356,0.3276,0.1313,-0.0025,-0.3305,0.9438,0.0000,0.0775,-0.0004,0
48.5464,18.0584,-0.0550,-0.1231,-0.0458,0.9913,0.1575,0.9291,0.3456,0.1313,-0.0025,-0.3486,0.9373,0.0000,0.0775,-0.0004,0
48.1887,18.9922,-0.0550,-0.1222,-0.0482,0.9913,0.1575,0.9223,0.3635,0.1313,-0.0025,-0.3667,0.9304,0.0000,0.0775,-0.0004,0
47.8131,19.9189,-0.0550,-0.1212,-0.0505,0.9913,0.1575,0.9151,0.3812,0.1313,-0.0025,-0.3846,0.9231,0.0000,0.0775,-0.0004,0
47.4197,20.8383,-0.0550,-0.1202,-0.0528,0.9913,0.1575,0.9076,0.3988,0.1313,-0.0025,-0.4023,0.9155,0.0000,0.0775,-0.0004,0
47.0085,21.7498,-0.0550,-0.1192,-0.0551,0.9913,0.1575,0.8997,0.4163,0.1313,-0.0025,-0.4199,0.9076,0.0000,0.0775,-0.0004,0
46.5799,22.6533,-0.0550,-0.1181,-0.0574,0.9913,0.1575,0.8915,0.4336,0.1313,-0.0025,-0.4374,0.8993,0.0000,0.0775,-0.0004,0
46.1339,23.5483,-0.0550,-0.1170,-0.0597,0.9913,0.1575,0.8830,0.4507,0.1313,-0.0025,-0.4546,0.8907,0.0000,0.0775,-0.0004,0
45.6707,24.4345,-0.0550,-0.1158,-0.0620,0.9913,0.1575,0.8741,0.4677,0.1313,-0.0025,-0.4717,0.8817,0.0000,0.0775,-0.0004,0
45.1905,25.3117,-0.0550,-0.1146,-0.0642,0.9913,0.1575,0.8649,0.4844,0.1313,-0.0025,-0.4887,0.8725,0.0000,0.0775,-0.0004,0
44.6934,26.1794,-0.0550,-0.1133,-0.0664,0.9913,0.1575,0.8554,0.5011,0.1313,-0.0025,-0.5054,0.8629,0.0000,0.0775,-0.0004,0
44.1797,27.0373,-0.0550,-0.1120,-0.0686,0.9913,0.1575,0.8456,0.5175,0.1313,-0.0025,-0.5220,0.8529,0.0000,0.0775,-0.0004,0
43.6495,27.8852,-0.0550,-0.1107,-0.0707,0.9913,0.1575,0.8354,0.5337,0.1313,-0.0025,-0.5384,0.8427,0.0000,0.0775,-0.0004,0
