X,Y,Z
51.1396,-0.0000,-0.0983
51.1378,0.4401,-0.0983
51.1197,1.4273,-0.0983
51.0826,2.4139,-0.0983
51.0265,3.3996,-0.0983
50.9514,4.3840,-0.0983
50.8573,5.3668,-0.0983
50.7442,6.3476,-0.0983
50.6122,7.3261,-0.0983
50.4613,8.3018,-0.0983
50.2916,9.2744,-0.0983
50.1032,10.2436,-0.0983
49.8961,11.2089,-0.0983
49.6704,12.1701,-0.0983
49.4262,13.1267,-0.0983
49.1636,14.0785,-0.0983
48.8827,15.0250,-0.0983
48.5835,15.9658,-0.0983
48.2662,16.9008,-0.0983
47.9310,17.8294,-0.0983
47.5778,18.7514,-0.0983
47.2069,19.6664,-0.0983
46.8185,20.5741,-0.0983
46.4126,21.4741,-0.0983
45.9894,22.3661,-0.0983
45.5490,23.2498,-0.0983
45.0917,24.1248,-0.0983
44.6175,24.9908,-0.0983
44.1268,25.8475,-0.0983
43.6196,26.6945,-0.0983
43.0961,27.5316,-0.0983
42.5566,28.3585,-0.0983
42.0012,29.1748,-0.0983
41.4301,29.9802,-0.0983
40.8436,30.7744,-0.0983
40.2419,31.5571,-0.0983
39.6252,32.3281,-0.0983
38.9937,33.0871,-0.0983
38.3477,33.8337,-0.0983
37.6874,34.5677,-0.0983
37.0130,35.2888,-0.0983
36.3248,35.9968,-0.0983
35.6231,36.6913,-0.0983
34.9082,37.3722,-0.0983
34.1802,38.0392,-0.0983
33.4395,38.6919,-0.0983
32.6863,39.3303,-0.0983
31.9209,39.9540,-0.0983
31.1436,40.5628,-0.0983
30.3548,41.1564,-0.0983
29.5546,41.7348,-0.0983
28.7434,42.2975,-0.0983
27.9215,42.8446,-0.0983
27.0891,43.3756,-0.0983
26.2467,43.8905,-0.0983
25.3945,44.3890,-0.0983
24.5328,44.8710,-0.0983
23.6620,45.3362,-0.0983
22.7824,45.7846,-0.0983
21.8943,46.2159,-0.0983
20.9980,46.6299,-0.0983
20.0939,47.0266,-0.0983
19.1822,47.4058,-0.0983
18.2635,47.7672,-0.0983
17.3379,48.1109,-0.0983
16.4059,48.4367,-0.0983
15.4678,48.7444,-0.0983
14.5239,49.0339,-0.0983
13.5746,49.3051,-0.0983
12.6202,49.5580,-0.0983
11.6611,49.7924,-0.0983
10.6977,50.0082,-0.0983
9.7303,50.2054,-0.0983
8.7592,50.3839,-0.0983
7.7849,50.5436,-0.0983
6.8077,50.6845,-0.0983
5.8280,50.8065,-0.0983
4.8461,50.9095,-0.0983
3.8623,50.9936,-0.0983
2.8772,51.0587,-0.0983
1.8909,51.1047,-0.0983
0.9040,51.1317,-0.0983
-0.0833,51.1396,-0.0983
-1.0705,51.1284,-0.0983
-2.0574,51.0982,-0.0983
-3.0434,51.0490,-0.0983
-4.0284,50.9807,-0.0983
-5.0118,50.8935,-0.0983
-5.9934,50.7872,-0.0983
-6.9727,50.6621,-0.0983
-7.9495,50.5180,-0.0983
-8.9233,50.3551,-0.0983
-9.8937,50.1735,-0.0983
-10.8605,49.9731,-0.0983
-11.8232,49.7542,-0.0983
-12.7815,49.5166,-0.0983
-13.7350,49.2607,-0.0983
-14.6835,48.9863,-0.0983
-15.6264,48.6937,-0.0983
-16.5636,48.3830,-0.0983
-17.4945,48.0542,-0.0983
-18.4189,47.7075,-0.0983
-19.3365,47.3430,-0.0983
-20.2469,46.9609,-0.0983
-21.1497,46.5613,-0.0983
-22.0446,46.1443,-0.0983
-22.9313,45.7101,-0.0983
-23.8095,45.2589,-0.0983
-24.6788,44.7908,-0.0983
-25.5389,44.3061,-0.0983
-26.3895,43.8048,-0.0983
