contactPntX,contactPntY,contactPntZ,normalX,normalY,normalZ,maxCurvature,maxCurvDirectionX,maxCurvDirectionY,maxCurvDirectionZ,minCurvature,minCurvDirectionX,minCurvDirectionY,minCurvDirectionZ,meanCurvature,GaussianCurvature,endOfRevolution(T/F)
60.0258,-0.0000,-0.0550,-0.1313,-0.0000,0.9913,0.1575,0.9913,0.0000,0.1313,-0.0022,-0.0000,1.0000,-0.0000,0.0776,-0.0003,0
60.0173,1.0000,-0.0550,-0.1314,-0.0022,0.9913,0.1575,0.9912,0.0165,0.1314,-0.0022,-0.0167,0.9999,0.0000,0.0776,-0.0003,0
59.9923,1.9996,-0.0550,-0.1313,-0.0044,0.9913,0.1575,0.9908,0.0330,0.1314,-0.0022,-0.0333,0.9994,0.0000,0.0776,-0.0003,0
59.9508,2.9988,-0.0550,-0.1312,-0.0066,0.9913,0.1575,0.9901,0.0495,0.1313,-0.0022,-0.0500,0.9988,0.0000,0.0776,-0.0003,0
59.8924,3.9970,-0.0550,-0.1311,-0.0087,0.9913,0.1575,0.9891,0.0660,0.1314,-0.0022,-0.0666,0.9978,0.0000,0.0776,-0.0003,0
59.8174,4.9942,-0.0550,-0.1309,-0.0109,0.9913,0.1575,0.9879,0.0825,0.1314,-0.0022,-0.0832,0.9965,0.0000,0.0776,-0.0003,0
59.7261,5.9900,-0.0550,-0.1307,-0.0131,0.9913,0.1575,0.9864,0.0989,0.1313,-0.0022,-0.0998,0.9950,0.0000,0.0776,-0.0003,0
59.6180,6.9841,-0.0550,-0.1305,-0.0153,0.9913,0.1575,0.9846,0.1153,0.1314,-0.0022,-0.1164,0.9932,0.0000,0.0776,-0.0003,0
59.4932,7.9763,-0.0550,-0.1302,-0.0175,0.9913,0.1575,0.9825,0.1317,0.1314,-0.0022,-0.1329,0.9911,0.0000,0.0776,-0.0003,0
59.3523,8.9663,-0.0550,-0.1299,-0.0196,0.9913,0.1575,-0.9802,-0.1481,-0.1314,-0.0022,-0.1494,0.9888,-0.0000,0.0776,-0.0003,0
59.1946,9.9538,-0.0550,-0.1295,-0.0218,0.9913,0.1575,-0.9776,-0.1644,-0.1314,-0.0022,-0.1658,0.9862,-0.0000,0.0776,-0.0003,0
59.0205,10.9385,-0.0550,-0.1292,-0.0239,0.9913,0.1575,-0.9747,-0.1807,-0.1314,-0.0022,-0.1822,0.9833,-0.0000,0.0776,-0.0003,0
58.8302,11.9202,-0.0550,-0.1287,-0.0261,0.9913,0.1575,-0.9716,-0.1969,-0.1314,-0.0022,-0.1986,0.9801,-0.0000,0.0776,-0.0003,0
58.6234,12.8986,-0.0550,-0.1283,-0.0282,0.9913,0.1575,-0.9682,-0.2130,-0.1314,-0.0022,-0.2149,0.9766,-0.0000,0.0776,-0.0003,0
58.4003,13.8734,-0.0550,-0.1278,-0.0304,0.9913,0.1575,-0.9645,-0.2291,-0.1314,-0.0022,-0.2311,0.9729,-0.0000,0.0776,-0.0003,0
58.1612,14.8444,-0.0550,-0.1273,-0.0325,0.9913,0.1575,-0.9605,-0.2452,-0.1314,-0.0022,-0.2473,0.9689,-0.0000,0.0776,-0.0003,0
57.9059,15.8112,-0.0550,-0.1267,-0.0346,0.9913,0.1575,-0.9563,-0.2611,-0.1314,-0.0022,-0.2634,0.9647,-0.0000,0.0776,-0.0003,0
57.6343,16.7736,-0.0550,-0.1261,-0.0367,0.9913,0.1575,-0.9518,-0.2770,-0.1314,-0.0022,-0.2794,0.9602,-0.0000,0.0776,-0.0003,0
57.3470,17.7314,-0.0550,-0.1255,-0.0388,0.9913,0.1575,-0.9471,-0.2928,-0.1314,-0.0022,-0.2954,0.9554,-0.0000,0.0776,-0.0003,0
57.0437,18.6843,-0.0550,-0.1248,-0.0409,0.9913,0.1575,-0.9421,-0.3086,-0.1314,-0.0022,-0.3113,0.9503,-0.0000,0.0776,-0.0003,0
56.7244,19.6319,-0.0550,-0.1242,-0.0430,0.9913,0.1575,-0.9368,-0.3242,-0.1314,-0.0022,-0.3271,0.9450,-0.0000,0.0776,-0.0003,0
56.3896,20.5742,-0.0550,-0.1234,-0.0450,0.9913,0.1575,-0.9313,-0.3398,-0.1314,-0.0022,-0.3428,0.9394,-0.0000,0.0776,-0.0003,0
56.0390,21.5107,-0.0550,-0.1226,-0.0471,0.9913,0.1575,-0.9255,-0.3553,-0.1314,-0.0022,-0.3584,0.9336,-0.0000,0.0776,-0.0003,0
55.6728,22.4412,-0.0550,-0.1218,-0.0491,0.9913,0.1575,-0.9194,-0.3706,-0.1314,-0.0022,-0.3739,0.9275,-0.0000,0.0776,-0.0003,0
55.2914,23.3656,-0.0550,-0.1210,-0.0511,0.9913,0.1575,-0.9131,-0.3859,-0.1313,-0.0022,-0.3893,0.9211,-0.0000,0.0776,-0.0003,0
54.8944,24.2834,-0.0550,-0.1201,-0.0531,0.9913,0.1575,-0.9066,-0.4010,-0.1314,-0.0022,-0.4046,0.9145,-0.0000,0.0776,-0.0003,0
54.4821,25.1945,-0.0550,-0.1192,-0.0551,0.9913,0.1575,0.8998,0.4161,0.1314,-0.0022,-0.4197,0.9076,0.0000,0.0776,-0.0003,0
54.0551,26.0987,-0.0550,-0.1183,-0.0571,0.9913,0.1575,0.8927,0.4310,0.1313,-0.0022,-0.4348,0.9005,0.0000,0.0776,-0.0003,0
53.6127,26.9955,-0.0550,-0.1173,-0.0591,0.9913,0.1575,0.8854,0.4458,0.1314,-0.0022,-0.4497,0.8932,0.0000,0.0776,-0.0003,0
53.1555,27.8849,-0.0550,-0.1163,-0.0610,0.9913,0.1575,0.8779,0.4605,0.1314,-0.0022,-0.4645,0.8855,0.0000,0.0776,-0.0003,0
52.6838,28.7666,-0.0550,-0.1153,-0.0629,0.9913,0.1575,0.8701,0.4751,0.1313,-0.0022,-0.4792,0.8777,0.0000,0.0776,-0.0003,0
52.1971,29.6402,-0.0550,-0.1142,-0.0649,0.9913,0.1575,0.8620,0.4895,0.1314,-0.0022,-0.4938,0.8696,0.0000,0.0776,-0.0003,0
51.6960,30.5056,-0.0550,-0.1131,-0.0668,0.9913,0.1575,0.8538,0.5038,0.1314,-0.0022,-0.5082,0.8612,0.0000,0.0776,-0.0003,0
51.1809,31.3627,-0.0550,-0.1120,-0.0686,0.9913,0.1575,0.8453,0.5180,0.1313,-0.0022,-0.5225,0.8526,0.0000,0.0776,-0.0003,0
50.6511,32.2108,-0.0550,-0.1109,-0.0705,0.9913,0.1575,0.8365,0.5320,0.1314,-0.0022,-0.5366,0.8438,0.0000,0.0776,-0.0003,0
50.1075,33.0501,-0.0550,-0.1097,-0.0723,0.9913,0.1575,0.8275,0.5458,0.1314,-0.0022,-0.5506,0.8348,0.0000,0.0776,-0.0003,0
49.5501,33.8804,-0.0550,-0.1084,-0.0741,0.9913,0.1575,0.8183,0.5595,0.1313,-0.0022,-0.5644,0.8255,0.0000,0.0776,-0.0003,0
48.9787,34.7010,-0.0550,-0.1072,-0.0759,0.9913,0.1575,0.8089,0.5731,0.1314,-0.0022,-0.5781,0.8160,0.0000,0.0776,-0.0003,0
