X,Y,Z
59.3692,-0.0000,-0.0983
59.3605,0.9890,-0.0983
59.3358,1.9777,-0.0983
59.2949,2.9659,-0.0983
59.2370,3.9533,-0.0983
59.1628,4.9396,-0.0983
59.0726,5.9245,-0.0983
58.9656,6.9077,-0.0983
58.8422,7.8890,-0.0983
58.7029,8.8682,-0.0983
58.5469,9.8449,-0.0983
58.3746,10.8188,-0.0983
58.1865,11.7898,-0.0983
57.9820,12.7575,-0.0983
57.7612,13.7215,-0.0983
57.5248,14.6819,-0.0983
57.2723,15.6382,-0.0983
57.0036,16.5900,-0.0983
56.7195,17.5374,-0.0983
56.4195,18.4798,-0.0983
56.1036,19.4171,-0.0983
55.7726,20.3491,-0.0983
55.4258,21.2754,-0.0983
55.0635,22.1957,-0.0983
54.6864,23.1100,-0.0983
54.2937,24.0177,-0.0983
53.8859,24.9188,-0.0983
53.4636,25.8132,-0.0983
53.0260,26.7001,-0.0983
52.5738,27.5797,-0.0983
52.1074,28.4519,-0.0983
51.6259,29.3158,-0.0983
51.1303,30.1717,-0.0983
50.6210,31.0196,-0.0983
50.0968,31.8583,-0.0983
49.5592,32.6884,-0.0983
49.0080,33.5097,-0.0983
48.4427,34.3212,-0.0983
47.8643,35.1235,-0.0983
47.2727,35.9161,-0.0983
46.6676,36.6984,-0.0983
46.0499,37.4709,-0.0983
45.4193,38.2329,-0.0983
44.7759,38.9840,-0.0983
44.1205,39.7247,-0.0983
43.4525,40.4541,-0.0983
42.7725,41.1723,-0.0983
42.0809,41.8794,-0.0983
41.3772,42.5743,-0.0983
40.6622,43.2577,-0.0983
39.9363,43.9294,-0.0983
39.1986,44.5883,-0.0983
38.4504,45.2351,-0.0983
37.6917,45.8696,-0.0983
36.9221,46.4908,-0.0983
36.1426,47.0996,-0.0983
35.3530,47.6952,-0.0983
34.5534,48.2773,-0.0983
33.7445,48.8464,-0.0983
32.9261,49.4017,-0.0983
32.0985,49.9432,-0.0983
31.2622,50.4713,-0.0983
30.4169,50.9849,-0.0983
29.5633,51.4845,-0.0983
28.7018,51.9702,-0.0983
27.8318,52.4408,-0.0983
26.9544,52.8972,-0.0983
26.0696,53.3391,-0.0983
25.1772,53.7657,-0.0983
24.2781,54.1777,-0.0983
23.3723,54.5748,-0.0983
22.4598,54.9563,-0.0983
21.5413,55.3231,-0.0983
20.6166,55.6742,-0.0983
19.6863,56.0097,-0.0983
18.7506,56.3302,-0.0983
17.8095,56.6346,-0.0983
16.8636,56.9233,-0.0983
15.9131,57.1968,-0.0983
14.9579,57.4535,-0.0983
13.9988,57.6947,-0.0983
13.0358,57.9203,-0.0983
12.0690,58.1290,-0.0983
11.0990,58.3221,-0.0983
10.1259,58.4991,-0.0983
9.1499,58.6593,-0.0983
8.1715,58.8038,-0.0983
7.1908,58.9318,-0.0983
6.2080,59.0432,-0.0983
5.2236,59.1387,-0.0983
4.2377,59.2174,-0.0983
3.2506,59.2796,-0.0983
2.2626,59.3259,-0.0983
1.2740,59.3551,-0.0983
0.2851,59.3680,-0.0983
-0.7040,59.3650,-0.0983
-1.6928,59.3446,-0.0983
-2.6812,59.3082,-0.0983
-3.6688,59.2556,-0.0983
-4.6554,59.1859,-0.0983
-5.6407,59.1002,-0.0983
-6.6245,58.9982,-0.0983
-7.6064,58.8794,-0.0983
-8.5862,58.7447,-0.0983
-9.5637,58.5935,-0.0983
-10.5384,58.4259,-0.0983
-11.5103,58.2425,-0.0983
-12.4789,58.0425,-0.0983
-13.4440,57.8264,-0.0983
-14.4056,57.5948,-0.0983
-15.3630,57.3466,-0.0983
-16.3161,57.0826,-0.0983
-17.2649,56.8033,-0.0983
-18.2087,56.5074,-0.0983
-19.1475,56.1963,-0.0983
-20.0811,55.8698,-0.0983
-21.0089,55.5272,-0.0983
-21.9311,55.1696,-0.0983
-22.8471,54.7968,-0.0983
-23.7567,54.4083,-0.0983
-24.6598,54.0051,-0.0983
-25.5561,53.5869,-0.0983
-26.4451,53.1535,-0.0983
-27.3271,52.7058,-0.0983
-28.2012,52.2432,-0.0983
-29.0675,51.7660,-0.0983
-29.9260,51.2748,-0.0983
-30.7760,50.7690,-0.0983
-31.6174,50.2492,-0.0983
-32.4503,49.7159,-0.0983
-33.2738,49.1681,-0.0983
-34.0882,48.6069,-0.0983
-34.8935,48.0327,-0.0983
-35.6886,47.4444,-0.0983
-36.4740,46.8433,-0.0983
-37.2495,46.2295,-0.0983
-38.0142,45.6022,-0.0983
-38.7687,44.9627,-0.0983
-39.5125,44.3108,-0.0983
-40.2449,43.6462,-0.0983
-40.9665,42.9698,-0.0983
-41.6767,42.2814,-0.0983
-42.3751,41.5811,-0.0983
-43.0621,40.8696,-0.0983
-43.7369,40.1465,-0.0983
-44.3995,39.4122,-0.0983
-45.0501,38.6673,-0.0983
-45.6879,37.9114,-0.0983
-46.3130,37.1449,-0.0983
-46.9257,36.3685,-0.0983
-47.5248,35.5815,-0.0983
-48.1109,34.7849,-0.0983
-48.6840,33.9788,-0.0983
-49.2430,33.1628,-0.0983
