X,Y,Z
51.1396,0.3500,-0.0983
51.1396,1.3500,-0.0983
51.1396,2.3500,-0.0983
51.1396,3.3500,-0.0983
51.1396,4.3500,-0.0983
51.1396,5.3500,-0.0983
51.1396,6.3500,-0.0983
51.1396,7.3500,-0.0983
51.1396,8.3500,-0.0983
51.1396,9.3500,-0.0983
51.1396,10.3500,-0.0983
51.1396,11.3500,-0.0983
51.1396,12.3500,-0.0983
51.1396,13.3500,-0.0983
51.1396,14.3500,-0.0983
51.1396,15.3500,-0.0983
51.1396,16.3500,-0.0983
51.1396,17.3500,-0.0983
51.1396,18.3500,-0.0983
51.1396,19.3500,-0.0983
51.1396,20.3500,-0.0983
51.1396,21.3500,-0.0983
51.1396,22.3500,-0.0983
51.1396,23.3500,-0.0983
51.1396,24.3500,-0.0983
51.1396,25.3500,-0.0983
51.1396,26.3500,-0.0983
51.1396,27.3500,-0.0983
51.1396,28.3500,-0.0983
51.1396,29.3500,-0.0983
51.1396,30.3500,-0.0983
51.1396,31.3500,-0.0983
51.1396,32.3500,-0.0983
51.1396,33.3500,-0.0983
51.1396,34.3500,-0.0983
51.1396,35.3500,-0.0983
51.1396,36.3500,-0.0983
51.1396,37.3500,-0.0983
51.1396,38.3500,-0.0983
51.1396,39.3500,-0.0983
51.1396,40.3500,-0.0983
51.1396,41.3500,-0.0983
51.1396,42.3500,-0.0983
51.1396,43.3500,-0.0983
51.1396,43.6500,-0.0983
51.0970,44.5891,-0.0984
50.9673,45.5165,-0.0985
50.7469,46.4204,-0.0985
50.4308,47.2853,-0.0985
50.0130,48.0928,-0.0984
49.4889,48.8228,-0.0983
48.8594,49.4578,-0.0983
48.1341,49.9876,-0.0984
47.3303,50.4110,-0.0985
46.4679,50.7324,-0.0985
45.5658,50.9578,-0.0985
44.6393,51.0923,-0.0984
43.7005,51.1395,-0.0983
43.6500,51.1396,-0.0983
42.6500,51.1396,-0.0983
41.6500,51.1396,-0.0983
40.6500,51.1396,-0.0983
39.6500,51.1396,-0.0983
38.6500,51.1396,-0.0983
37.6500,51.1396,-0.0983
36.6500,51.1396,-0.0983
35.6500,51.1396,-0.0983
34.6500,51.1396,-0.0983
33.6500,51.1396,-0.0983
32.6500,51.1396,-0.0983
31.6500,51.1396,-0.0983
30.6500,51.1396,-0.0983
29.6500,51.1396,-0.0983
28.6500,51.1396,-0.0983
27.6500,51.1396,-0.0983
26.6500,51.1396,-0.0983
25.6500,51.1396,-0.0983
24.6500,51.1396,-0.0983
23.6500,51.1396,-0.0983
22.6500,51.1396,-0.0983
21.6500,51.1396,-0.0983
20.6500,51.1396,-0.0983
19.6500,51.1396,-0.0983
18.6500,51.1396,-0.0983
17.6500,51.1396,-0.0983
16.6500,51.1396,-0.0983
15.6500,51.1396,-0.0983
14.6500,51.1396,-0.0983
13.6500,51.1396,-0.0983
12.6500,51.1396,-0.0983
11.6500,51.1396,-0.0983
10.6500,51.1396,-0.0983
9.6500,51.1396,-0.0983
8.6500,51.1396,-0.0983
7.6500,51.1396,-0.0983
6.6500,51.1396,-0.0983
5.6500,51.1396,-0.0983
4.6500,51.1396,-0.0983
3.6500,51.1396,-0.0983
2.6500,51.1396,-0.0983
1.6500,51.1396,-0.0983
0.6500,51.1396,-0.0983
-0.3500,51.1396,-0.0983
-1.3500,51.1396,-0.0983
-2.3500,51.1396,-0.0983
-3.3500,51.1396,-0.0983
-4.3500,51.1396,-0.0983
-5.3500,51.1396,-0.0983
-6.3500,51.1396,-0.0983
-7.3500,51.1396,-0.0983
-8.3500,51.1396,-0.0983
-9.3500,51.1396,-0.0983
-10.3500,51.1396,-0.0983
-11.3500,51.1396,-0.0983
-12.3500,51.1396,-0.0983
-13.3500,51.1396,-0.0983
-14.3500,51.1396,-0.0983
-15.3500,51.1396,-0.0983
-16.3500,51.1396,-0.0983
-17.3500,51.1396,-0.0983
-18.3500,51.1396,-0.0983
-19.3500,51.1396,-0.0983
-20.3500,51.1396,-0.0983
-21.3500,51.1396,-0.0983
-22.3500,51.1396,-0.0983
-23.3500,51.1396,-0.0983
-24.3500,51.1396,-0.0983
-25.3500,51.1396,-0.0983
-26.3500,51.1396,-0.0983
-27.3500,51.1396,-0.0983
-28.3500,51.1396,-0.0983
-29.3500,51.1396,-0.0983
-30.3500,51.1396,-0.0983
-31.3500,51.1396,-0.0983
-32.3500,51.1396,-0.0983
-33.3500,51.1396,-0.0983
-34.3500,51.1396,-0.0983
-35.3500,51.1396,-0.0983
-36.3500,51.1396,-0.0983
-37.3500,51.1396,-0.0983
-38.3500,51.1396,-0.0983
-39.3500,51.1396,-0.0983
-40.3500,51.1396,-0.0983
-41.3500,51.1396,-0.0983
-42.3500,51.1396,-0.0983
-43.3500,51.1396,-0.0983
-43.6500,51.1396,-0.0983
-44.5891,51.0970,-0.0984
-45.5165,50.9673,-0.0985
-46.4204,50.7469,-0.0985
-47.2853,50.4308,-0.0985
-48.0928,50.0130,-0.0984
-48.8228,49.4889,-0.0983
-49.4578,48.8594,-0.0983
-49.9876,48.1341,-0.0984
-50.4110,47.3303,-0.0985
-50.7324,46.4679,-0.0985
-50.9578,45.5658,-0.0985
-51.0923,44.6393,-0.0984
-51.1395,43.7005,-0.0983
-51.1396,43.6500,-0.0983
-51.1396,42.6500,-0.0983
-51.1396,41.6500,-0.0983
-51.1396,40.6500,-0.0983
-51.1396,39.6500,-0.0983
-51.1396,38.6500,-0.0983
-51.1396,37.6500,-0.0983
-51.1396,36.6500,-0.0983
-51.1396,35.6500,-0.0983
-51.1396,34.6500,-0.0983
-51.1396,33.6500,-0.0983
-51.1396,32.6500,-0.0983
-51.1396,31.6500,-0.0983
-51.1396,30.6500,-0.0983
-51.1396,29.6500,-0.0983
-51.1396,28.6500,-0.0983
-51.1396,27.6500,-0.0983
-51.1396,26.6500,-0.0983
-51.1396,25.6500,-0.0983
-51.1396,24.6500,-0.0983
-51.1396,23.6500,-0.0983
-51.1396,22.6500,-0.0983
-51.1396,21.6500,-0.0983
-51.1396,20.6500,-0.0983
-51.1396,19.6500,-0.0983
-51.1396,18.6500,-0.0983
-51.1396,17.6500,-0.0983
-51.1396,16.6500,-0.0983
-51.1396,15.6500,-0.0983
-51.1396,14.6500,-0.0983
-51.1396,13.6500,-0.0983
-51.1396,12.6500,-0.0983
-51.1396,11.6500,-0.0983
-51.1396,10.6500,-0.0983
-51.1396,9.6500,-0.0983
-51.1396,8.6500,-0.0983
-51.1396,7.6500,-0.0983
-51.1396,6.6500,-0.0983
-51.1396,5.6500,-0.0983
-51.1396,4.6500,-0.0983
-51.1396,3.6500,-0.0983
-51.1396,2.6500,-0.0983
-51.1396,1.6500,-0.0983
-51.1396,0.6500,-0.0983
-51.1396,-0.3500,-0.0983
-51.1396,-1.3500,-0.0983
-51.1396,-2.3500,-0.0983
-51.1396,-3.3500,-0.0983
-51.1396,-4.3500,-0.0983
-51.1396,-5.3500,-0.0983
-51.1396,-6.3500,-0.0983
-51.1396,-7.3500,-0.0983
-51.1396,-8.3500,-0.0983
-51.1396,-9.3500,-0.0983
-51.1396,-10.3500,-0.0983
-51.1396,-11.3500,-0.0983
-51.1396,-12.3500,-0.0983
-51.1396,-13.3500,-0.0983
-51.1396,-14.3500,-0.0983
-51.1396,-15.3500,-0.0983
-51.1396,-16.3500,-0.0983
-51.1396,-17.3500,-0.0983
-51.1396,-18.3500,-0.0983
-51.1396,-19.3500,-0.0983
-51.1396,-20.3500,-0.0983
-51.1396,-21.3500,-0.0983
-51.1396,-22.3500,-0.0983
-51.1396,-23.3500,-0.0983
-51.1396,-24.3500,-0.0983
-51.1396,-25.3500,-0.0983
-51.1396,-26.3500,-0.0983
-51.1396,-27.3500,-0.0983
-51.1396,-28.3500,-0.0983
-51.1396,-29.3500,-0.0983
-51.1396,-30.3500,-0.0983
-51.1396,-31.3500,-0.0983
-51.1396,-32.3500,-0.0983
-51.1396,-33.3500,-0.0983
-51.1396,-34.3500,-0.0983
-51.1396,-35.3500,-0.0983
